Continent,variable,value
South America,# of Subscribers Q1 2020,"4,500,000"
Oceania,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
South America,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
North America,# of Subscribers Q1 2020,0
South America,# of Subscribers Q1 2020,"839,979"
South America,# of Subscribers Q1 2020,"2,424,619"
North America,# of Subscribers Q1 2020,"264,337"
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Asia,# of Subscribers Q1 2020,0
Asia,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Asia,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
North America,# of Subscribers Q1 2020,"7,409,071"
Europe,# of Subscribers Q1 2020,0
Oceania,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Asia,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Africa,# of Subscribers Q1 2020,0
Asia,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Europe,# of Subscribers Q1 2020,0
Asia,# of Subscribers Q1 2020,0
Asia,# of Subscribers Q1 2020,"365,245"
Europe,# of Subscribers Q1 2020,0
North America,# of Subscribers Q1 2020,0
Asia,# of Subscribers Q1 2020,0
South America,Average Monthly Revenue per Paying Membership - Q1 2020 ($),8.05
Oceania,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
Europe,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
Europe,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
South America,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
Europe,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
North America,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
South America,Average Monthly Revenue per Paying Membership - Q1 2020 ($),8.05
South America,Average Monthly Revenue per Paying Membership - Q1 2020 ($),8.05
North America,Average Monthly Revenue per Paying Membership - Q1 2020 ($),8.05
Europe,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
Europe,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
Europe,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
Europe,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
Europe,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
Europe,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
Europe,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
Europe,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
Europe,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
Europe,Average Monthly Revenue per Paying Membership - Q1 2020 ($),0.0
