Region,variable,value
United States and Canada,2018 - Q1,60909000
"Europe, Middle East, and Africa",2018 - Q1,29339000
Latin America,2018 - Q1,21260000
Asia-Pacific,2018 - Q1,7394000
United States and Canada,2018 - Q2,61870000
"Europe, Middle East, and Africa",2018 - Q2,31317000
Latin America,2018 - Q2,22795000
Asia-Pacific,2018 - Q2,8372000
United States and Canada,2018 - Q3,63010000
"Europe, Middle East, and Africa",2018 - Q3,33836000
Latin America,2018 - Q3,24115000
Asia-Pacific,2018 - Q3,9461000
United States and Canada,2018 - Q4,64757000
"Europe, Middle East, and Africa",2018 - Q4,37818000
Latin America,2018 - Q4,26077000
Asia-Pacific,2018 - Q4,10607000
United States and Canada,2019 - Q1,66633000
"Europe, Middle East, and Africa",2019 - Q1,42542000
Latin America,2019 - Q1,27547000
Asia-Pacific,2019 - Q1,12141000
United States and Canada,2019 - Q2,66501000
"Europe, Middle East, and Africa",2019 - Q2,44229000
Latin America,2019 - Q2,27890000
Asia-Pacific,2019 - Q2,12942000
United States and Canada,2019 - Q3,67114000
"Europe, Middle East, and Africa",2019 - Q3,47355000
Latin America,2019 - Q3,29380000
Asia-Pacific,2019 - Q3,14485000
United States and Canada,2019 - Q4,67662000
"Europe, Middle East, and Africa",2019 - Q4,51778000
Latin America,2019 - Q4,31417000
Asia-Pacific,2019 - Q4,16233000
United States and Canada,2020 - Q1,69969000
"Europe, Middle East, and Africa",2020 - Q1,58734000
Latin America,2020 - Q1,34318000
Asia-Pacific,2020 - Q1,19835000
United States and Canada,2020 - Q2,72904000
"Europe, Middle East, and Africa",2020 - Q2,61483000
Latin America,2020 - Q2,36068000
Asia-Pacific,2020 - Q2,22492000
United States and Canada,2020 - Q3,73081000
"Europe, Middle East, and Africa",2020 - Q3,62242000
Latin America,2020 - Q3,36324000
Asia-Pacific,2020 - Q3,23504000
United States and Canada,2020 - Q4,73940000
"Europe, Middle East, and Africa",2020 - Q4,66700000
Latin America,2020 - Q4,37540000
Asia-Pacific,2020 - Q4,25490000
United States and Canada,2021 - Q1,74380000
"Europe, Middle East, and Africa",2021 - Q1,68510000
Latin America,2021 - Q1,37890000
Asia-Pacific,2021 - Q1,26850000
United States and Canada,2021 - Q2,73950000
"Europe, Middle East, and Africa",2021 - Q2,68700000
Latin America,2021 - Q2,38660000
Asia-Pacific,2021 - Q2,27880000
